排名,标题,分数,播放量,Up主,Up Id,URL
1,【懂点儿啥】汇丰银行：吸血中国150年（上）,2395353,173.3万,观察者网,10330740,https://www.bilibili.com/video/BV1BD4y1D7Cj
2,妈妈问我为什么要跪着看手机！,2120548,149.7万,盼盼罚吃小面包,420689937,https://www.bilibili.com/video/BV1Nk4y1z7G2
3,【4k/裸眼3D/无水印】爆肝抠图1350张，该细还得细！,1771691,70.4万,永远的我的鸟笼Me,10773628,https://www.bilibili.com/video/BV1Yz4y197X1
4,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,1735185,52.2万,历史调研室,519872016,https://www.bilibili.com/video/BV1Z5411p7Ct
5,小猪获救后被做成香肠【阅片无数51】,1712220,236.0万,凉风Kaze,14110780,https://www.bilibili.com/video/BV1Vv41167MG
6,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,1694222,137.9万,wrizedm,346749212,https://www.bilibili.com/video/BV1pv41167CH
7,【标题不改】三十七万退伍费我全捐啦！当兵两年，我到底得到了什么？,1631875,153.3万,爆炒充电宝,19643194,https://www.bilibili.com/video/BV1eV411r7SB
8,120个孩子的东北老爸：用长跑、“谎言”和无数张信用卡换他们出人头地,1614967,77.3万,鹅厂-中国人的一天,428250963,https://www.bilibili.com/video/BV1bZ4y1W7k5
9,《樱  桃  老  丸  子》,1472415,87.2万,绝对不再熬夜,576534137,https://www.bilibili.com/video/BV1dz4y197zd
10,清唱，他不爱我,1454479,138.9万,广西吴恩师,605205509,https://www.bilibili.com/video/BV1Vi4y1x7bk
11,【骚男】我，迈克尔杰克骚，今天正式入驻B站,1432446,239.6万,骚男丶注意马叉虫,12761764,https://www.bilibili.com/video/BV1c5411W7hW
12,番茄带你荒野作战！,1412017,201.4万,老番茄,546195,https://www.bilibili.com/video/BV1kf4y127My
13,高考作弊记,1411936,87.0万,大蟀蝈,2444757,https://www.bilibili.com/video/BV1ep4y1D7s1
14,这四个up主 好有文化！ (第三期),1383124,198.4万,啊吗粽,7552204,https://www.bilibili.com/video/BV1cT4y1J7kD
15,战 术 大 师,1372550,111.1万,花少北丶,2206456,https://www.bilibili.com/video/BV1Jv41167qS
16,再见了，心爱的梦中女孩……,1368040,124.8万,吃素的狮子,808171,https://www.bilibili.com/video/BV1kg4y1i7pe
17,我的一些往事：想给你们讲讲我和Tabe的故事,1333767,129.9万,Uzi,42619059,https://www.bilibili.com/video/BV1eV411r7WZ
18,能看到第15秒吗？,1299944,91.3万,三千转,316641949,https://www.bilibili.com/video/BV12f4y1272j
19,被上帝吻过的嗓子,1285941,177.2万,离阿毛,484831835,https://www.bilibili.com/video/BV1Wa4y1v7qB
20,最 强 法 海,1184158,98.6万,推背兔の,96070394,https://www.bilibili.com/video/BV1pi4y147tQ
21,我偷偷盖了个树屋！,1142504,54.5万,巫托邦,382193067,https://www.bilibili.com/video/BV1mv411z7Rp
22,30多万买台8手事故车，我开心得很！,1088644,119.7万,极速拍档,25150941,https://www.bilibili.com/video/BV1sZ4y1W7Js
